noun,lexicon,pronoun
arma,hic/haec/hoc,haec
arma,ille/illa/illud,illa
armorum,hic/haec/hoc,horum
armorum,ille/illa/illud,illorum
avis (nom sg),hic/haec/hoc,haec
avis (nom sg),ille/illa/illud,illa
avis (gen sg),hic/haec/hoc,huius
avis (gen sg),ille/illa/illud,illius
aves,hic/haec/hoc,hae
aves,ille/illa/illud,illae
avium,hic/haec/hoc,harum
avium,ille/illa/illud,illarum
caput,hic/haec/hoc,hoc
caput,ille/illa/illud,illud
capitis,hic/haec/hoc,huius
capitis,ille/illa/illud,illius
capita,hic/haec/hoc,haec
capita,ille/illa/illud,illa
capitum,hic/haec/hoc,horum
capitum,ille/illa/illud,illorum
deus,hic/haec/hoc,hic
deus,ille/illa/illud,ille
dei (gen sg),hic/haec/hoc,huius
dei (gen sg),ille/illa/illud,illius
dei (nom pl),hic/haec/hoc,hi
dei (nom pl),ille/illa/illud,illi
deorum,hic/haec/hoc,horum
deorum,ille/illa/illud,illorum
filia,hic/haec/hoc,haec
filia,ille/illa/illud,illa
filiae (gen sg),hic/haec/hoc,huius
filiae (gen sg),ille/illa/illud,illius
filiae (nom pl),hic/haec/hoc,hae
filiae (nom pl),ille/illa/illud,illae
filiarum,hic/haec/hoc,harum
filiarum,ille/illa/illud,illarum
hospes,hic/haec/hoc,hic
hospes,ille/illa/illud,ille
hospitis,hic/haec/hoc,huius
hospitis,ille/illa/illud,illius
hospites,hic/haec/hoc,hi
hospites,ille/illa/illud,illi
hospitum,hic/haec/hoc,horum
hospitum,ille/illa/illud,illorum
pater,hic/haec/hoc,hic
pater,ille/illa/illud,ille
patris,hic/haec/hoc,huius
patris,ille/illa/illud,illius
patres,hic/haec/hoc,hi
patres,ille/illa/illud,illi
patrum,hic/haec/hoc,horum
patrum,ille/illa/illud,illorum
sagitta,hic/haec/hoc,haec
sagitta,ille/illa/illud,illa
sagittae (gen sg),hic/haec/hoc,huius
sagittae (gen sg),ille/illa/illud,illius
sagittae (nom pl),hic/haec/hoc,hae
sagittae (nom pl),ille/illa/illud, illae
sagittarum,hic/haec/hoc,harum
sagittarum,ille/illa/illud,illarum
