verb,3rd pl imperfect active subjunctive,3rd pl imperfect passive subjunctive,3rd pl pluperfect active subjunctive,3rd pl pluperfect passive indicative
concumbo/concumbĕre/concubui/concubitus,concumberent,concumberentur,concubuissent,concubiti essent
cogito/cogitare/cogitavi/cogitatus,cogitarent,cogitarentur,cogitavissent,cogitati essent
cresco/crescĕre/crevi/cretus,crescerent,crescerentur,crevissent,creti essent
imperō/imperāre/imperāvī/imperatus,imperarent,imperarentur,imperavissent,imperati essent
audio/audire/audivi/auditus,audirent,audirentur,audivissent,auditi essent
moneo/monere/monui/monitus,monerent,monerentur,monuissent,moniti essent
nego/negare/negavi/negatus,negarent,negarentur,negavissent,negati essent
do/dare/dedi/datus,darent,darentur,dedissent,dati essent
rego/regere/rexi/rectus,regerent,regerentur,rexissent,recti essent
servo/servare/servavi/servatus,servarent,servarentur,servavissent,servati essent
occido/occidĕre/occidi/occisus,occiderent,occiderentur,occidissent,occisi essent
peto/petĕre/petivi/petitus,peterent,peterentur,petivissent,petiti essent
interficio/interficere/interfeci/interfectus,interficerent,interficerentur,interfecissent,interfecti essent
video/videre/vidi/visus,viderent,viderentur,vidissent,visi essent
venio/venire/veni/ventus,venirent,venirentur,venissent,venti essent
