verb,present active infinitive,present passive infinitive,perfect active infinitive,perfect passive infinitive
concumbo/concumbĕre/concubui/concubitus,concumbere,concumbi,concubuisse,concubitus esse
cogito/cogitare/cogitavi/cogitatus,cogitare,cogitari,cogitavisse,cogitatus esse
cresco/crescĕre/crevi/cretus,crescere,cresci,crevisse,cretus esse
imperō/imperāre/imperāvī/imperatus,imperare,imperari,imperavisse,imperatus esse
audio/audire/audivi/auditus,audire,audiri,audivisse,auditus esse
moneo/monere/monui/monitus,monere,moneri,monuisse,monitus esse
nego/negare/negavi/negatus,negare,negari,negavisse,negatus esse
do/dare/dedi/datus,dare,dari,dedisse,datus esse
rego/regere/rexi/rectus,regere,regi,rexisse,rectus esse
servo/servare/servavi/servatus,servare,servari,servavisse,servatus esse
occido/occidĕre/occidi/occisus,occidere,occidi,occidisse,occisus esse
peto/petĕre/petivi/petitus,petere,peti,petivisse,petitus esse
interficio/interficere/interfeci/interfectus,interficere,interfici,interfecisse,interfectus esse
video/videre/vidi/visus,videre,videri,vidisse,visus esse
venio/venire/veni/ventus,venire,veniri,venisse,ventus esse
