verb,3rd sg impf act ind,3rd pl impf act ind,3rd sg impf pass ind,3rd pl impf pass ind
appello/appellare/appellavi/appellatus,appellabat,appellabant,appellabatur,appellabantur
audio/audire/audivi/auditus,audiebat,audiebant,audiebatur,audiebantur
contendo/contendĕre/contendi/contentus,contendebat,contendebant,contendebatur,contendebantur
converto/convertĕre/converti/conversus,convertebat,convertebant,convertebatur,convertebantur
dico/dicere/dixi/dictus,dicebat,dicebant,dicebatur,dicebantur
duco/ducere/duxi/ductus,ducebat,ducebant,ducebatur,ducebantur
adduco/adducere/adduxi/adductus,adducebat,adducebant,adducebatur,adducebantur
habeo/habēre/habui/habitus,habebat,habebant,habebatur,habebantur
interficio/interficĕre/interfeci/interfectus,interficiebat,interficiebant,interficiebatur,interficiebantur
