Verb,Form

nominantur,present indicative passive
nominabantur,imperfect indicative passive
nominant,present indicative active
nominabunt,future indicative active
nominabant,imperfect indicative active
nominabuntur,future indicative passive
nominati sunt,perfect indicative passive
nominaverunt,perfect indicative active
habentur,present indicative passive
habiti sunt,perfect indicative passive
habebantur,imperfect indicative passive
habebant,imperfect indicative active
habebuntur,future indicative passive
habent,present indicative active
habebunt,future indicative active
habuerunt,perfect indicative active
ducuntur,present indicative passive
ducentur,future indicative passive
ducunt,present indicative active
ducent,future indicative active
ducebantur,imperfect indicative passive
ducti sunt,perfect indicative passive
ducebant,imperfect indicative active
duxerunt,perfect indicative active
interfecti sunt,perfect indicative passive
interficiuntur,present indicative passive
interficientur,future indicative passive
interficiebantur,imperfect indicative passive
interficiebant,imperfect indicative active
interficiunt,present indicative active
interficient,future indicative active
interfecerunt,perfect indicative active
veniuntur,present indicative passive
veniebantur,imperfect indicative passive
veniunt,present indicative active
venientur,future indicative passive
veniebant,imperfect indicative active
venti sunt,perfect indicative passive
venient,future indicative active
venerunt,perfect indicative active
