verb,present active participle,perfect passive participle,future active participle
accipio/accipere/accepi/acceptus,accipiens/accipientis,acceptus/-a/-um,accepturus/-a/-um
appono/apponere/apposui/appositus,apponens/apponentis,appositus/-a/-um,appositurus/-a/-um
habeo/habere/habui/habitus,habens/habentis,habitus/-a/-um,habiturus/-a/-um
moneo/monere/monui/monitus,monens/monentis,monitus/-a/-um,moniturus/-a/-um
duco/ducere/duxi/ductus,ducens/ducentis,ductus/-a/-um,ducturus/-a/-um
rego/regere/rexi/rectus,regens/regentis,rectus/-a/-um,recturus/-a/-um
audio/audire/audivi/auditus,audiens/audientis,auditus/-a/-um,auditurus/-a/-um
neco/necare/necavi/necatus,necans/necantis,necatus/-a/-um,necaturus/-a/-um
monstro/monstrare/monstravi/monstratus,monstrans/monstratis,monstratus/-a/-um,monstraturus/-a/-um
invenio/invenire/inveni/inventus,inveniens/invenientis,inventus/-a/-um,inventurus/-a/-um
