verb,person and number,form
interficio/interficĕre/interfeci/interfectus,3rd sg,interfecit
interficio/interficĕre/interfeci/interfectus,3rd pl,interfecerunt
mitto/mittĕre/misi/missus,3rd sg,misit
mitto/mittĕre/misi/missus,3rd pl,miserunt
amitto/amittĕre/amisi/amissus,3rd sg,amisit
amitto/amittĕre/amisi/amissus,3rd pl,amiserunt
audio/audire/audivi/auditus,3rd sg,audivit
audio/audire/audivi/auditus,3rd pl,audiverunt
moneo/monere/monui/monitus,3rd sg,monuit
moneo/monere/monui/monitus,3rd pl,monuerunt
emitto/emittĕre/emisi/emissus,3rd sg,emisit
emitto/emittĕre/emisi/emissus,3rd pl,emiserunt
neco/necare/necavi/necatus,3rd sg,necavit
neco/necare/necavi/necatus,3rd pl,necaverunt
occido/occidĕre/occidi/occisus,3rd sg,occidit
occido/occidĕre/occidi/occisus,3rd pl,occiderunt
peto/petĕre/petivi/petitus,3rd sg,petivit
peto/petĕre/petivi/petitus,3rd pl,petiverunt
video/videre/vidi/visus,3rd sg,vidit
video/videre/vidi/visus,3rd pl,viderunt
venio/venire/veni/ventus,3rd sg,venit
venio/venire/veni/ventus,3rd pl,venerunt
