Sentence,Relative pronoun,Antecedent,Subject,Verb,Translation of Relative Pronoun
ibi Latona oleam tenens parit Apollinem et Dianam; quibus Vulcanus sagittas dedit donum,quibus,Apollinem et Dianam,Vulcanus,dedit,to whom 
Medea autem iunctis draconibus ab Athenis Colchos redit; quae in itinere Absoridem venit,quae,Medea,quae,venit,who
iungeret adamanteo iugo et araret dentesque draconis ex galea sereret; ex quibus gens armatorum statim enasceretur,quibus,dentes,gens,enasceretur,from which
Aves Stymphalides in insula Martis; quae emissis pennis suis iaculabantur,quae,aves,quae,iaculabantur,which
Minos cum Atheniensibus belligeravit; cuius filius Androgeus in pugna est occisus,cuius,Minos,filius,occisus est,whose
Telegonus tempestate in Ithacam est delatus; cum quo Ulixes et Telemachus ignari arma contulerunt,quo,Telegonus,Ulixes et Telemachus,contulerunt,with whom
Tum Iovis iussit eos lapides post se iactare; quos Deucalion iactavit,quos,lapides,Deucalion,iactavit,which
se Alcestis obtulit et pro eo vicaria morte interiit; quam postea Hercules ab inferis revocavit,quam,Alcestis,Hercules,revocavit,whom
inde nata est Pyrrha; quae mortalis dicitur prima esse creata,quae,Pyrrha,quae,dicitur,who
devenit ad Eleusinum regem; cuius uxor puerum Triptolemum pepererat,cuius,regem,uxor,peperat,whose
