verb,type
irascor/irasci/iratus sum,deponent (3rd conjugation)
arbitror/arbitrari/arbitratus sum,deponent (1st conjugation)
morior/mori/mortuus sum,deponent (3rd-io conjugation)
gaudeo/gaudere/gavisus sum,semi-deponent (2nd conjugation)
soleo/solere/solitus sum,semi-deponent (2nd conjugation)
nascor/nasci/natus sum,deponent (3rd conjugation)
habeo/habere/habui/habitus,normal (2nd conjugation)
vereor/vereri/veritus sum,deponent (2nd conjugation)
audio/audire/audivi/auditus,normal (4th conjugation)
potior/potiri/potitus sum,deponent (4th conjugation)
audeo/audere/ausus sum,semi-deponent (2nd conjugation)
moneo/monere/monui/monitus,normal (2nd conjugation)
proficiscor/proficisci/profectus sum,deponent (3rd conjugation)
amo/amare/amavi/amatus,normal (1st conjugation)
duco/ducere/duxi/ductus,normal (3rd conjugation)
persequor/persequi/persecutus sum,deponent (3rd conjugation)
