verb,3rd pl impf act ind,3rd pl impf pass ind,3rd pl pft act ind,3rd pl pft pass ind
concumbo/concumbĕre/concubui/concubitus,concumbebant,concumbebantur,concubuerunt,concubiti sunt
cresco/crescĕre/crevi/cretus,crescebant,crescebantur,creverunt,creti sunt
audio/audire/audivi/auditus,audiebant,audiebantur,audiverunt,auditi sunt
moneo/monere/monui/monitus,monebant,monebantur,monuerunt,moniti sunt
do/dare/dedi/datus,dabant,dabantur,dederunt,dati sunt
rego/regere/rexi/rectus,regebant,regebantur,rexerunt,recti sunt
servo/servare/servavi/servatus,servabant,servabantur,servaverunt,servati sunt
occido/occidĕre/occidi/occisus,occidebant,occidebantur,occiderunt,occisi sunt
peto/petĕre/petivi/petitus,petebant,petebantur,petiverunt,petiti sunt
interficio/interficere/interfeci/interfectus,interficiebant,interficiebantur,interfecerunt,interfecti sunt
venio/venire/veni/ventus,veniebant,veniebantur,venerunt,venti sunt
